spec,subgroup,coef,se,ci_lower,ci_upper,p,N
TWFE_subgroup,Q1_fa,.5866888249157655,.6321921057720927,-.6524077023975362,1.825785352229067,.3533956306100867,6228
TWFE_subgroup,Q2_fa,.6948397944119558,.5872617906815775,-.4561933153239361,1.845872904147848,.2367355310474748,6560
TWFE_subgroup,Q3_fa,.3041656561931429,.7367723317102211,-1.13990811395889,1.748239426345176,.6797272572265542,5721
TWFE_subgroup,Q4_fa,1.221370435703191,.6923495716339879,-.1356347246994254,2.578375596105807,.0777159817431878,6049
CSDID_subgroup,Q1_fa,1.05433874872587,1.414873949657645,-1.718763235267051,3.82744073271879,,6228
CSDID_subgroup,Q4_fa,1.063681083028041,.7390881362565025,-.3849050454355361,2.512267211491618,,6049
TWFE_interaction,D2_main_Q23ref,.5112140018248069,.4164834927949001,-.3050936440531973,1.327521647702811,.2196522961985152,24558
TWFE_interaction,D2xQ1,2.410575555416256,.6887879465616661,1.06055118015539,3.760599930677121,.0004657202064633,24558
TWFE_interaction,D2xQ4,-.9534989352569504,.6831834834237331,-2.292538562767467,.3855406922535666,.1628137851829607,24558
Heterogeneity_test,Q1_vs_Q4,,,,,.0000576534924641,
