spec,d2_coef,d2_se,d2_p,spillover_coef,spillover_se,note
1_baseline_joint,.997952812507418,.3378243244850886,.0031362456248805,,,Table 1 headline reproduction
2_plus_spillover_share,1.264348332639782,.4879892842560482,.0095715672852563,-.4777970894686575,.5801158918529662,+ within-prefecture D2 share
3_plus_spillover_count,.9824108071736437,.4121768566797729,.0171503235868755,.0048629036569375,.0783130221560679,+ within-prefecture D2 count
4_d2_x_spillover_interaction,-.5260199924833011,.6592075803690542,,4.065632344447636,1.117096573166348,D2 × spillover share interaction
5_pollution_test_nonD2,,,,-2.508268179193506,.8995247984571783,spillover_share on non-D2 sub-sample
