spec,theta_pp,se,pval,ci_lo,ci_hi,n,controls
baseline_no_D1,1.0414838981648205,0.28858405970709117,0.00030744519245370553,0.475869534626565,1.6070982617030758,24781,"primary_ratio_w, secondary_ratio_w, ln_pop_w, gov_scale_w"
with_D1,1.0166297854125748,0.28840479342505054,0.00042346678018613954,0.45136677733076136,1.581892793494388,24781,"D1_w, primary_ratio_w, secondary_ratio_w, ln_pop_w, gov_scale_w"
