spec,coef,se,p,ci_lo,ci_hi,F_first,n,note
OLS_cross_section,-1.0314096786588096,0.8543980544917869,0.22736398678012426,-2.7060298654627117,0.6432105081450925,,1493,"cross-section, province FE, pre-controls, cluster by prov"
IV_log_dist_to_capital,-14.387598279775375,12.500818551196037,0.24976000826756595,-38.88875241738978,10.113555857839035,3.522285682754656,1493,"2SLS, log_dist as IV for d2_share, province FE, cluster by prov"
FirstStage,-0.040087265756848456,0.02207283671903562,0.06934956559468546,-0.08334923076279152,0.003174699249094616,3.2983487147975783,1493,d2_share on log_dist (province FE)
ReducedForm,0.5767594758439488,0.5126101477854209,0.26052864382304386,-0.42793795192523076,1.5814569036131285,,1493,y on log_dist (province FE)
