spec,treatment,coef,se,ci_lower,ci_upper,p,N
TWFE_D1_only,D1,-1.539450172364947,.3569499408006699,-2.23907205633426,-.8398282883956341,.0000161207147471,24781
TWFE_joint,D1,-1.515056416068305,.3557208765528379,-2.212269334111868,-.8178434980247428,.00002052371053,24781
TWFE_joint,D2,.9979528125074121,.3378243244850886,.3358171365166385,1.660088488498186,.0031362456248807,24781
CSDID_D1,D1,1.76251797563336,.693998396511206,.4023061131428485,3.122729838123871,,24781
TWFE_D1_clean,D1,-1.72273602484399,.5148824204779581,-2.731905568980788,-.7135664807071922,.0008202117670526,12533
CSDID_D1_clean,D1,.9294043324423523,.887605987032661,-.8102714346037893,2.669080099488494,,12533
