spec,d2_coef,d2_se,d2_p,ancillary_coef,ancillary_se,note
1_baseline,.9979528125074121,.3378243244850886,.0031362456248807,,,Table 1 headline
2_anticipation_t-2_-1,.6065364249338784,.4083248988878253,.1374310101212932,-.9230991666422425,.4237705233598332,+ anticipation window dummy t=-2,-1
3_anticipation_t-4_-1,1.314983503348247,.4667022609153094,.0048383007928576,.4534720645615302,.4814958506892129,+ wider anticipation window t=-4..-1
4_lead2_treat,.1708071741686682,.3753297721457041,.6490476580479785,,,treatment redefined as starting 2 years earlier
5_drop_t0,1.131670486907772,.3579903560652981,.0015713357510121,,,post-treatment indicator skips reform-year cohort
6_pseudo_-1,.5171575810309602,.3582247217212221,.1488323763349575,,,pseudo-treatment 1 year before actual D2_year
