iter,coef
1,0.6984202284035902
2,0.6930816025383301
3,0.7536042379595521
4,0.5997121737689619
5,0.7269362685253455
6,0.4007189218924209
7,1.0326696611316681
8,0.6086064413906688
9,0.27774148351910216
10,0.788755820427549
11,0.8114710356295035
12,0.7030358612598356
13,1.0448715721950272
14,0.7938191674374684
15,0.7510374397820458
16,0.7392811214766347
17,0.9118116804873331
18,0.8924856380821848
19,0.803080360778619
20,0.5673076142596981
21,1.0086595574298571
22,0.40783854344502635
23,0.7691922777484567
24,0.3261386174834863
25,0.39614418323001027
26,0.5775403340030832
27,1.1365747471096628
28,0.6167310701243377
29,0.5873749856289896
30,0.30712830333459845
31,0.9081680335425847
32,1.084827390067874
33,0.3618955755262235
34,0.8537103315390291
35,0.8549568586866206
36,0.25887303436038345
37,0.5100281946122005
38,0.36266777354918206
39,0.7783237137923363
40,0.47904567960168654
41,0.5021050205704721
42,0.7712734601384623
43,0.9226783706248534
44,0.597704347677446
45,0.7379645371466766
46,1.0495690180957395
47,1.0277895891474451
48,0.6097124526674917
49,1.2113868574801137
50,0.35927886741027015
51,0.9918937356182134
52,0.7126138884291378
53,0.6474965899275376
54,0.2433643842755031
55,0.441519026878685
56,0.6326945309388798
57,0.3596424728937833
58,0.6866788964141507
59,0.7695678372589079
60,0.32123488857102084
61,0.6166767304132665
62,0.09936477279392107
63,0.4719365554441804
64,0.6640111436946305
65,0.41446722228977534
66,0.43604753837420307
67,0.7222061949377304
68,0.8913663518529937
69,1.0707578000336826
70,0.9733761664725995
71,0.9215544691797026
72,0.8693416876993347
73,0.7626536889739741
74,0.6205944563444761
75,0.7164497716036985
76,0.9526149634979219
77,0.33364183041021006
78,1.0892419929877242
79,0.6309649323720938
80,0.4679929436721767
81,0.7590014682046392
82,0.2985617146677893
83,0.6165841295940424
84,0.5928500064414474
85,0.5765081629467097
86,0.02170912590343549
87,0.3436622616926185
88,0.711082401438967
89,0.6239720440372376
90,1.25947016945196
91,0.22280653168259604
92,0.9034308650891211
93,0.6560527075305913
94,0.3726850395957354
95,0.7041093088668617
96,0.853610318474881
97,0.8744382549964682
98,0.49362236886048044
99,0.9381376350858085
100,1.0806536821207142
101,0.7344318381278849
102,0.937002071794337
103,0.6014798630454127
104,0.6991178349894244
105,0.3398448425481354
106,0.48506123062952905
107,0.38034387002077574
108,1.2558145415994282
109,0.5780575085659836
110,0.5796675936956266
111,0.5931775117256118
112,0.42059510629003644
113,1.0403740188104862
114,0.9312640982597011
115,0.7682452884316918
116,0.15465397254195865
117,0.5451822523817211
118,0.5478627303114523
119,0.7290028920398888
120,0.7105895332627561
121,0.6622910818216315
122,0.40062622383780755
123,0.7649559277685464
124,0.9245884880677772
125,0.6211628536671345
126,1.1128934101978527
127,0.5336424166412839
128,0.7727390338743392
129,0.6337205518797764
130,0.5346099085015608
131,0.6274938026828852
132,0.9956658478595221
133,0.7802971218973063
134,0.7531778994042994
135,0.5965303235929685
136,0.8330115359234176
137,0.7653394237672729
138,0.7166075998625066
139,0.9113675300791433
140,0.8291950129234343
141,0.47766658402520834
142,0.6615359234213366
143,0.40911367130680376
144,0.8336452828264174
145,0.6553242641672584
146,0.9078865685984165
147,0.7875591195908814
148,0.5957346063629854
149,0.8720833757117638
150,0.605671826514818
151,0.7785903217196937
152,0.45517519212004376
153,0.7635842951949519
154,0.62125110257455
155,0.8140348259927573
156,0.6335397239201085
157,0.40998793225432817
158,0.6541254857729917
159,0.7149198652934281
160,0.3593162845042159
161,0.6067664150492397
162,0.7568451026529637
163,0.7736472804754682
164,0.8296257149628727
165,0.43406368055565203
166,0.5284313605034385
167,0.609655016628142
168,0.6145282883407717
169,0.7127288614283652
170,0.5020238366251635
171,0.4024258591959856
172,0.7846041802810508
173,0.5263189129356347
174,1.3536736473198696
175,0.6911149469531898
176,0.6732377639038367
177,0.5185307523864288
178,0.8917399536578117
179,0.3938501635866948
180,0.8116814444882933
181,0.5793913824853
182,0.29952465685499047
183,0.45158743998979683
184,0.7043221257980684
185,0.6320862688426114
186,0.4287470845568712
187,0.807117813198571
188,0.6332703295338538
189,0.73049575835099
190,0.7077344824213746
191,0.5810249532047035
192,0.6269345496184942
193,0.8307053771521489
194,0.3365639306769931
195,1.1547385097809675
196,0.8163960046088604
197,0.90178175212999
198,0.9014506981737719
199,0.9475616065755871
200,0.5948734398912694
