spec,point_pp,boot_mean_pp,se_pp,ci_lo_pp,ci_hi_pp,n_in_leaf,B,rule
A_rule_fixed,0.5059169514144083,0.5000363256649611,0.13693337026298633,0.22993755282651632,0.7668193030306101,34,1000,secondary_ratio_pre <= 18.8601 & fiscal_autonomy_pre <= 0.0486
B_rule_free,0.5059169514144083,0.6343857288083944,0.25338369716404097,0.1798415917405604,1.0847099214576101,34,1000,argmax leaf mean across refit trees
