spec,d2_coef,d2_se,d2_p,n_obs,note
1_full_baseline_TWFE,.9979528125074121,.3378243244850886,.0031362456248807,24781,Full-sample joint TWFE (Table 1 headline)
2_drop_dual_TWFE,1.093194863690006,.4170704789553888,.0087639502062886,20851,TWFE excluding 218 dual-adopters
3_d2only_+never_TWFE,.6376656611576719,.4188292334887095,.1278849494440943,17051,TWFE on D2-only treated + never-treated
4_d2only_CSDID,1.213265763690091,.5401515451827383,.0246938835376886,16820,CS-DID on D2-only treated + never-treated
5_full_CSDID,1.436339352924032,.4829739521336803,.0029399502348733,24025,CS-DID on full sample (current Table 1)
