feature,importance
gov_scale_pre,0.2855828536431718
secondary_ratio_pre,0.16447883897849883
fiscal_autonomy_pre,0.1540108080967726
primary_ratio_pre,0.15032547831972246
ln_pop_pre,0.13173902579992935
region_val,0.059590363874751195
D1,0.05427263128715371
