method,coef,se,ci_lower,ci_upper,p,N,outcome_var
TWFE,1.023229681204863,.3393647433109032,.3580747843154927,1.688384578094233,.0025686697890774,24781,gdp_growth_pc
CS-DID,1.19236099770537,.4743865866822554,.2625803730592615,2.122141622351479,,.,gdp_growth_pc
