spec,coef,se,ci_lower,ci_upper,p,N
TWFE_baseline,1.023229681204863,.3393647433109032,.3580747843154927,1.688384578094233,.0025686697890774,24781
TWFE_plus_provyear,1.015510858623679,.4733856732229301,.087674939106736,1.943346778140622,.0319361991074412,24781
TWFE_provyear_only,1.015510858623677,.47338567322293,.0876749391067342,1.94334677814062,.0319361991074414,24781
