year,county_code,D,D1,D2,reform_year,D1_year,D2_year,gdp_growth_pc,ln_gdppc,gdppc,ln_fiscal_exp_pc,ln_fiscal_rev_pc,fiscal_autonomy,transfer_dependence,fiscal_exp_pc,fiscal_rev_pc,primary_ratio,secondary_ratio,tertiary_ratio,ln_pop,gov_scale,high_development,high_agriculture,is_county_city,region,region_east,region_central,region_west,relative_time,event_m6plus,event_m5,event_m4,event_m3,event_m2,event_m1,event_0,event_p1,event_p2,event_p3,event_p4,event_p5,event_p6,event_p7,event_p8,event_p9,event_p10plus
2023,130121,0,0,0,,,,,,,9.124901311967122,8.257527101780791,0.42005307351077315,0.5799469264892269,9181.09090909091,3856.5454545454545,11.049276842197633,32.71967962473973,56.23104353306263,3.4965075614664802,24.169824415849643,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,130123,0,0,0,,,,,,,5.906837836019575,5.666915890721951,0.7866892634664713,0.21331073653352872,367.54208754208753,289.14141414141415,20.60262813526944,44.083189219287576,35.31418264544298,4.084294226368599,3.0620903619611854,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,130123,0,0,0,,,,,,,6.187582558576848,5.701569493479116,0.6150737712620994,0.3849262287379006,486.66819117310774,299.33683969814774,26.34481378716141,38.49902713209158,35.15615908074702,3.778034365424829,4.345136375051298,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,130123,0,0,0,,,,,,,6.346615692180785,5.758345526725308,0.5552870090634441,0.4447129909365559,570.5584923006205,316.82371868535967,25.028815917577152,39.57087596659219,35.40030811583066,3.772990796732589,4.63013044564889,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,130123,0,0,0,,,,,,,6.450161105439026,5.735183650740841,0.48920314090446415,0.5107968590955358,632.8042328042328,309.5698182654704,21.083312224365596,44.688983716867035,34.227704058767365,3.772071045000701,4.4666575735728715,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,130123,0,0,0,,,,,,,6.511677787177375,5.810187898752465,0.4958459979736575,0.5041540020263424,672.9545454545455,333.6818181818182,20.338610348157324,46.112304672828266,33.54908497901441,3.784189633918261,4.044148277242003,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,130123,0,0,0,,,,,9.816021526754852,18325.0,6.71402231080597,5.985981325693451,0.48285398230088494,0.5171460176991151,823.8778765094554,397.8127136021873,19.95592013296222,46.609288916243266,33.43479095079451,3.7816865037001426,4.505166738513444,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,130123,0,0,0,,,,16.08731241473397,9.965193941972107,21273.0,6.911452140863463,6.148804097589389,0.46642966429664295,0.533570335703357,1003.7037037037037,468.1571815718157,18.494560328950186,47.48779286417955,34.01764680687026,3.790533107840436,4.759069687754315,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,130123,0,0,0,,,,14.426738118742065,10.099958532434503,24342.0,7.0545800125467215,6.333234409011356,0.4860977208746288,0.5139022791253711,1158.1509602501117,562.9745422063421,18.186858706462154,46.87677015928897,34.93637113424888,3.8017616111706087,4.784573344330232,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,130123,0,0,0,,,,15.94363651302276,10.247892527339829,28223.0,7.31864691089562,6.567315882538587,0.4717382377097266,0.5282617622902734,1508.161911081619,711.4576421145764,17.24196033690092,46.77574924392562,35.98229041917346,3.811318301306514,5.368620216417188,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,130123,0,0,0,,,,9.860751869042979,10.341936013126308,31006.0,7.3783718661777185,6.721554395680189,0.5184988493538679,0.4815011506461321,1600.981033355134,830.1068236320035,15.828944746505735,43.5161832104529,40.654872043041365,3.8258113086090804,5.226237581485382,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,130123,0,0,0,,,,18.04166935431852,10.507803519389457,36600.0,7.62841456909216,6.973267802344852,0.5193658313593483,0.48063416864065167,2055.78812473302,1067.7061085006408,13.862636575412976,47.6645906555325,38.47277276905452,3.846310462062765,5.675098656223523,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
