county_code,D2,D1,reform_pivot,gdp_growth_outcome,ln_gdppc_outcome,fiscal_autonomy_pre,primary_ratio_pre,secondary_ratio_pre,ln_pop_pre,gov_scale_pre,region_val
370826,1,0,2019,,,.79591185,11.509253,42.686569,4.2922854,9.1851006,1
370827,1,0,2019,,,.40245777,22.639246,37.716141,3.8738432,13.52529,1
370828,1,0,2009,,9.6706238,.32186446,29.964342,39.806805,4.123858,6.1938238,1
370829,0,0,2007,13.790112,9.6840219,.49191537,16.3713,54.444836,4.3736405,5.340086,1
370830,1,0,2019,,,.43382818,14.297956,45.12476,4.4039192,11.606073,1
370831,1,0,2009,,9.6031361,.38360161,24.919294,45.998672,4.1053638,7.0346174,1
370832,1,0,2016,,,.40783933,18.706348,50.084152,4.3777285,10.681347,1
370881,0,0,2007,12.270974,10.38358,.75705189,9.0560369,48.561089,4.1588831,5.4975481,1
370883,0,0,2007,14.229536,10.605307,.89293218,7.7088265,65.126389,4.7214618,5.239244,1
370921,1,0,2009,,10.057562,.52160531,19.781796,50.676102,4.3956814,6.9752202,1
370923,1,0,2016,,,.37857205,11.950109,47.6366,4.3861156,8.784337,1
370982,0,0,2007,18.244207,10.412368,.61035246,9.4665413,66.230949,4.9101949,7.0271611,1
370983,0,0,2007,18.774965,10.597322,.59593153,11.654902,62.169693,4.5678024,7.0496716,1
371082,1,0,2009,,11.445608,.77295446,9.8376255,60.14756,4.198184,5.8771138,1
371083,0,0,2007,9.9377298,10.839014,.81635386,11.54545,58.696568,4.0546455,4.7176166,1
371121,1,0,2016,,,.42681712,10.480931,59.216946,3.9447711,11.138431,1
371122,1,0,2009,,9.7308922,.31791902,21.521812,49.274151,4.7037973,6.2746196,1
371321,0,0,2007,12.184587,9.4676952,.39219728,20.277487,46.805359,4.5108595,6.4510932,1
371322,1,0,2009,,9.8188896,.47005728,13.76898,50.283092,4.5984702,5.8578463,1
371323,1,0,2019,,,.43252346,9.4458933,42.479549,4.7674518,12.17884,1
371324,1,0,2016,,,.37349766,18.327173,35.144051,4.9050355,11.485792,1
371325,0,0,2007,12.424112,9.809021,.44745195,17.072155,52.570705,4.528996,5.2455854,1
371326,1,0,2009,,9.6926689,.39258367,14.974838,49.008533,4.6014867,6.2343159,1
371327,0,0,2007,14.384727,9.7265015,.43845797,16.72847,44.881805,4.59512,6.0911498,1
371328,1,0,2016,,,.34817547,16.444752,38.295544,4.0252452,14.868593,1
371329,1,0,2019,,,.41667819,8.5796747,47.716415,4.2016692,13.882873,1
371422,1,0,2016,,,.42385381,12.051092,53.394459,3.9175448,8.3780556,1
371423,1,0,2009,,10.242497,.28079537,11.744621,44.999229,3.4045141,5.1584063,1
371424,1,0,2019,,,.62288624,12.22094,48.180038,4.0104938,8.6767855,1
371425,0,0,2007,19.124168,10.095878,.76871932,19.054291,53.049728,4.1162939,6.9930358,1
371426,1,0,2016,,,.44158441,13.600259,51.506096,3.8501475,8.7338314,1
371427,1,0,2009,,10.057745,.31187338,16.647764,51.849667,3.9179697,5.2853146,1
371428,0,0,2007,9.5874615,10.163221,.62486327,14.623691,56.816864,3.6198072,4.7296553,1
371481,1,0,2019,,,.37116688,15.355535,45.424664,4.2761993,11.415631,1
