period,coef,se,ci_lower,ci_upper
0,0,0,0,0
-5,.235408244148041,-1.079072666888242,1.549889155184324,.6706535260389199
-4,.6746405273417999,-.5627556065009935,1.912036661184593,.6313245580830579
-3,-.5546032194556501,-1.837598577747521,.7283921388362204,.6545894685162604
-2,-.0572525489747748,-1.34075021933195,1.2262451213824,.6548457501822322
-1,-.2619389906495798,-1.256325116230405,.7324471349312449,.5073398599902167
1,1.08873652658796,-.0377019805574832,2.215175033733403,.5747135240537976
2,2.170776493426544,.8965813942714278,3.44497159258166,.6500995403852634
3,.5151370001403325,-.7993718018079871,1.829645802088652,.6706677560960814
4,2.44704974696287,1.259602962000828,3.634496531924912,.6058401964092049
5,2.976834400698922,1.858129783833514,4.095539017564329,.5707676616660244
6,2.584663776611879,1.460161559693153,3.709165993530606,.5737256208769014
7,2.764203751098252,1.599994413952528,3.928413088243976,.5939843556865937
8,1.418420365095362,.1560915123400191,2.680749217850705,.6440453330384402
9,1.493205434234014,.2961336449750369,2.690277223492991,.6107509128872332
10,2.192718460415828,.9756703838346634,3.409766536996992,.6209428962148799
