county_code,D2,ln_gdppc_outcome,cate_lngdp,cate_lower,cate_upper,fiscal_autonomy_pre
130121,0.0,10.232866,-0.029536065540964884,-0.17761802175915276,0.11854589067722296,0.57586187
130123,0.0,10.299397,-0.28479228026480996,-0.5272121189750879,-0.04237244155453207,0.48170987
130125,1.0,9.8835011,0.12155940367738793,0.0005587479451767269,0.24256005940959913,0.2428599
130126,1.0,9.9120512,0.08746074968372142,0.0017310431578828611,0.17319045620955997,0.21250612
130127,1.0,9.995656,0.03036620769489673,-0.15457041081503817,0.2153028262048316,0.24747121
130128,1.0,9.9593124,0.0443683714834755,-0.044034028104762896,0.13277077107171387,0.35386902
130129,1.0,9.9838228,0.06529274543958152,-0.10469923269365977,0.2352847235728228,0.24343708
130130,1.0,10.000353,0.1037352210148228,-0.022594688326614154,0.23006513035625972,0.32712671
130131,1.0,10.349785,0.09318432598611537,-0.06251952547347353,0.24888817744570424,0.43536201
130132,1.0,10.112869,0.09743083684790577,-0.04580478643557087,0.24066646013138238,0.33120579
130133,1.0,9.9638605,0.14783515687522808,0.004899167200577842,0.2907711465498783,0.27053607
130181,1.0,10.537905,-0.055994563746072146,-0.2378678866868374,0.12587875919469307,0.46236071
130183,1.0,10.178906,0.061754439471620515,-0.0010819718286092517,0.12459085077185027,0.40025294
130184,1.0,10.120008,0.05728100239410949,-0.03448948944782425,0.1490514942360432,0.39757496
130224,1.0,10.631609,0.052430290490004694,-0.0728554807607249,0.17771606174073426,0.38311559
130225,0.0,10.629612,-0.7114311467115471,-0.9831486101766453,-0.43971368324644877,0.51466757
130227,0.0,11.185526,0.14432410664490725,-0.042208385767335155,0.3308565990571496,0.55197376
130229,1.0,10.442598,0.15937672152596605,0.04725647404432699,0.27149696900760506,0.3285087
130281,1.0,11.198395,0.09386204528555275,-0.18649318993663783,0.3742172805077432,0.55974758
130283,1.0,11.14172,0.34045978587548653,0.22470054366070039,0.45621902809027265,0.69168139
130284,0.0,10.508984,-0.09105826093345826,-0.24191086826044236,0.05979434639352582,0.47048566
130321,0.0,9.3213558,0.04451327747010225,-0.08819736374494366,0.17722391868514814,0.35297957
130322,1.0,9.9587669,-0.0373329804558864,-0.20082183511300128,0.12615587420122842,0.32941529
130324,1.0,9.6714649,0.2038879188365179,0.07182187200235293,0.33595396567068286,0.16603723
130421,0.0,10.541029,0.10694441424335643,-0.024940780152373776,0.2388296086390866,0.56562716
130423,1.0,9.2969017,0.15453330788134068,0.04464033529708053,0.2644262804656008,0.12159485
130424,0.0,9.6826897,0.10538415970408721,-0.046497414670444215,0.25726573407861864,0.18320724
130425,1.0,9.1558151,0.19699775081219428,0.06393799333714106,0.33005750828724745,0.082131669
130426,0.0,10.719595,0.15084656438209088,-0.08365156770039664,0.38534469646457836,0.46344826
130427,0.0,10.048738,0.022371822482927683,-0.20263246885505182,0.24737611382090716,0.43813756
130430,1.0,9.9065313,0.13312053959034031,0.03562660538639145,0.23061447379428915,0.12352144
130431,1.0,9.8321524,0.031032686164671475,-0.07489647900410197,0.1369618513334449,0.086998791
130432,1.0,9.7047796,0.04335615628571787,-0.08903751815008842,0.17574983072152414,0.16369089
130433,1.0,9.6896782,0.16808287435384273,0.02791074142633515,0.30825500728135025,0.12711386
130434,1.0,9.3372097,0.17075652277786801,0.052926568306744276,0.2885864772489917,0.10446373
130435,1.0,9.6165447,0.147691441414306,0.05574828261765556,0.23963460021095645,0.10733564
130481,1.0,10.929777,0.32729811104405293,0.10056173615007069,0.5540344859380351,0.70189929
130521,0.0,10.149401,0.015166486377953703,-0.16326534626311062,0.193598319019018,0.37687486
130522,1.0,9.7603102,-0.012872828955732274,-0.14139981228851028,0.11565415437704571,0.17361858
130523,0.0,10.004238,-0.06568905831667138,-0.2655086325436909,0.13413051591034808,0.35669398
130524,1.0,9.2068596,-0.059915228212691574,-0.1899277028038835,0.07009724637850032,0.12383255
130525,1.0,9.6442661,0.14253559751035993,0.027057020294300516,0.2580141747264193,0.28213707
130526,0.0,8.7631149,0.19747833522663427,0.09322072927323757,0.30173594118003094,0.13768592
130527,0.0,8.8517351,0.1402733500939206,-0.0046556950168192,0.2852023952046604,0.13257055
130528,1.0,9.8251705,0.06438481410463837,-0.02546903723648379,0.1542386654457605,0.37034819
130529,1.0,9.1953287,0.04658012460120986,-0.07684273714958875,0.17000298635200844,0.1054919
130530,1.0,9.2239475,-0.02445881205182232,-0.18736567190175352,0.13844804779810885,0.063559361
130531,1.0,9.1792622,0.14606376416358557,0.06465306400194218,0.22747446432522894,0.05953867
130532,1.0,9.088625,0.05396784214377348,-0.08145861365699114,0.18939429794453808,0.13620961
130533,1.0,8.6717319,0.08504628317070839,-0.03209887141267406,0.20219143775409082,0.077338018
130534,1.0,10.148483,-0.041307173751302884,-0.2410981252434742,0.1584837777408684,0.28653181
130535,1.0,9.2797699,0.15893051154954563,0.06652486138672564,0.2513361617123656,0.15148774
130581,1.0,9.4818535,0.07272012572127906,-0.010895274155136747,0.15633552559769484,0.12512651
130582,0.0,10.166064,0.031439383107830565,-0.16773891192162332,0.2306176781372844,0.38947409
130623,1.0,9.1836882,0.25998806152741594,0.18472312948738578,0.3352529935674461,0.18457377
130624,1.0,9.3230438,0.20295922520050524,0.08223787383984603,0.32368057656116445,0.19629386
