county_code,D2,cate,cate_lower,cate_upper
130121,0,-0.036144735800238664,-0.06058405742203757,-0.011705414178439764
130123,0,-0.03040615960688617,-0.05347229279858091,-0.007340026415191433
130225,0,-0.04289888673865061,-0.06630371260986573,-0.01949406086743549
130227,0,-0.03800193436622468,-0.06465680393577478,-0.011347064796674577
130284,0,-0.026065657585326946,-0.05002046430264627,-0.002110850868007632
130321,0,-0.020960080049141905,-0.04184714571051769,-7.301438776612101e-05
130421,0,-0.03761877486513443,-0.06523954738161233,-0.009998002348656537
130424,0,-0.04339786037941784,-0.07062383844628875,-0.016171882312546938
130426,0,-0.036659457678533625,-0.05227141021225858,-0.021047505144808673
130427,0,-0.007183297606119798,-0.023623151701884098,0.009256556489644498
130521,0,-0.02237085275626638,-0.05266512288077948,0.007923417368246713
130523,0,-0.039125841104082265,-0.061649161333702615,-0.016602520874461915
130526,0,-0.03376053052753075,-0.07086867181112905,0.003347610756067529
130527,0,-0.03728522527580608,-0.06805951093185762,-0.006510939619754543
130582,0,-0.02926343452425595,-0.04435969364085493,-0.014167175407656975
130632,0,-0.00806070020790417,-0.025875151590231307,0.009753751174422964
130728,0,-0.06634082572932276,-0.10686949815821165,-0.02581215330043389
130732,0,-0.04618453843206749,-0.08704852908364791,-0.00532054778048708
130824,0,-0.03231099651796465,-0.06645062287319933,0.0018286298372700155
130825,0,-0.05011868487640869,-0.08100928632399015,-0.019228083428827245
130826,0,-0.033485711518894457,-0.06751495584370015,0.0005435328059112329
130827,0,-0.035959465467992974,-0.07743015723109475,0.005511226295108786
130828,0,-0.057011794129414095,-0.08442271886004303,-0.029600869398785166
130881,0,-0.03691623394195942,-0.06941827808871862,-0.004414189795200231
130921,0,-0.023664980989822587,-0.05660561351136598,0.009275651531720802
130922,0,-0.03020447737208659,-0.04118652514152853,-0.019222429602644663
130924,0,-0.03695248127041706,-0.07174328460511512,-0.002161677935719003
130930,0,-0.030536725010396337,-0.05034122954459461,-0.010732220476198071
130983,0,-0.03423218865340599,-0.05688834100437741,-0.011576036302434582
131022,0,-0.04131677516264176,-0.06149938638663639,-0.02113416393864713
131028,0,-0.028447178240521898,-0.05912409552093614,0.0022297390398923374
131121,0,-0.015256842908807772,-0.033075017528598184,0.0025613317109826374
131122,0,-0.02358122951567887,-0.03779868755493275,-0.009363771476424993
131127,0,-0.014492748037142511,-0.026269249164551728,-0.0027162469097332994
131182,0,-0.016751888825903782,-0.02803734908267006,-0.005466428569137505
140121,0,-0.03558635409866995,-0.07077621222547734,-0.0003964959718625663
140122,0,-0.015538017671417104,-0.039491783244703635,0.008415747901869428
140123,1,-0.06514435464392804,-0.15077138054249828,0.02048267125464219
140181,0,-0.07575605186748088,-0.12024945465885725,-0.031262649076104515
140221,1,-0.04321519679544522,-0.0662744380189979,-0.020155955571892547
140222,1,-0.029735735705440913,-0.05422594165502978,-0.005245529755852053
140223,1,-0.029363105974835824,-0.05813616171952862,-0.0005900502301430278
140224,1,-0.056076669887872466,-0.10239845057615121,-0.00975488919959372
140225,1,-0.024395631178083133,-0.03853651168753681,-0.01025475066862946
140226,0,-0.037825798789747955,-0.09717864594837783,0.021527048368881904
140321,0,-0.039741562404274344,-0.07306254493462652,-0.0064205798739221664
140322,0,-0.058170330872087506,-0.09694194795293148,-0.01939871379124354
140423,1,-0.07260653188769883,-0.11943108070265099,-0.0257819830727467
140425,1,-0.028346579016424733,-0.0714970034788501,0.014803845446000628
140426,0,-0.014931972560363271,-0.03776255688169684,0.00789861176097029
140427,1,-0.03692155311850892,-0.08794990535392666,0.014106799116908812
140428,0,-0.021064190219921786,-0.03985000055334468,-0.0022783798864988956
