period,coef,ci_lower,ci_upper,se
0,0,0,0,0
-5,.8953623532014106,.1074600741443018,1.683264632258519,.4019909587026065
-4,.0364396763234425,-.7189942000078922,.7918735526547771,.3854254471078238
-3,-.3671679353651354,-1.110246354319939,.3759104835896684,.3791216423238795
-2,-.2862938919918898,-.9652719987976142,.3926842148138345,.346417401431492
-1,-.8115875328318003,-1.3906819799593,-.2324930857043003,.2954563505752551
1,.1490100379062043,-.5639509981444838,.8619710739568923,.3637556306381062
2,.8125562328450151,.017854782353529,1.607257683336501,.405459923720146
3,-.3985239730904349,-1.277560734679537,.4805127884986675,.4484881436679094
4,1.244372013947834,.4752062361332258,2.013537791762442,.3924315192931675
5,1.897216635256136,1.080386083690001,2.714047186822271,.4167502814112933
6,.9091385988171777,.1389218313323859,1.67935536630197,.3929677385126489
7,1.656017159489248,.8287101025648435,2.483324216413653,.4220954372063289
8,-.3078858807712851,-1.163353623321369,.5475818617787988,.4364631339541244
9,.2221557219087571,-.6268307769470268,1.071142220764541,.4331563769672367
10,1.386830531554304,.6037725608076059,2.169888502301002,.399519372829948
