period,coef,ci_lower,ci_upper,se
-6,0.5736935929789008,-0.7786765347167796,1.926063720674581,0.6899974378932489
-5,0.8505283394546539,-0.5442586438628441,2.245315322772152,0.7116390884319304
-4,2.20467462429329,0.8779652648455969,3.531383983740983,0.6769049686181008
-3,1.177752078924651,0.0632096867001226,2.292294471149179,0.5686545268259502
-2,0.1813243655534325,-1.256135759512841,1.618784490619706,0.7334114996014091
0,0.9587611756213807,-0.1118617768889028,2.029384128131664,0.5462462376631514
1,1.544056453261306,0.7223004093955144,2.365812497127097,0.4192709918894931
2,1.605531946460357,0.6790209114516832,2.532042981469031,0.4727183980506146
3,1.175032672631633,0.0912852764306475,2.258780068832619,0.5529425054487974
4,2.419325572314512,1.513559879797941,3.325091264831082,0.4621338451426328
5,2.932731900025357,2.034416499762049,3.831047300288665,0.4583326057769966
6,2.394541260560112,1.454345578969654,3.334736942150571,0.4797004888898993
7,2.999519088689907,1.960850698154163,4.03818747922565,0.5299425901336082
8,1.311474704211967,0.2932094481794909,2.329739960244443,0.5195326363465974
9,1.431101129212937,0.4289309454202554,2.433271313005617,0.5113207138996797
10,1.387717387779061,0.2511644780403477,2.524270297517774,0.5798845890555632
