year,county_code,D1,D2,gdp_growth_pc,ln_fiscal_exp_pc,fiscal_autonomy,primary_ratio,secondary_ratio,ln_pop,gov_scale,region,gdp_growth_pc_w,D2_w,D1_w,fiscal_autonomy_w,ln_fiscal_exp_pc_w,primary_ratio_w,secondary_ratio_w,ln_pop_w,gov_scale_w
2006,130121,0,0,18.60033294916122,6.986265052223752,0.5710628505681001,9.792591445869498,55.36980511067063,3.470101360309366,5.849876995251445,东部,4.687227598565618,0.21598437535719162,0.07918854739568931,0.05491601773450885,0.06918973331963599,-3.261152009097862,6.300159395993969,0.013230936627935725,-0.11490183657113719
2007,130121,0,0,21.01171516493009,7.1832869098033,0.5649614576033637,8.740898204832664,56.41201195397856,3.481240089335692,5.909351296509742,东部,2.6764047241306623,0.09428835781100667,0.05752621834941635,0.056500735464769844,-0.006054254489156992,-3.4250108769318968,5.841454461629699,0.015936069170489092,-1.6531488358973865
2008,130121,0,0,21.67744813740799,7.526398238538902,0.5772342955281062,8.216865963546086,57.33309072398797,3.484925597192868,6.759870330514302,东部,2.8909444820407932,0.09262180697077543,0.022925093658253178,0.08150597046884236,0.05262859702431215,-2.987087939795564,5.410216097176304,0.011119575729154478,-4.067415895182747
2009,130121,0,0,12.07010339517489,7.725038666643137,0.4750649455534169,7.751546496703401,55.98427853109261,3.49073334697301,7.414900263687918,东部,1.470082144918745,-0.01426745126841721,0.002716451644393927,-0.010336674427290478,0.021554163459055885,-2.0355661755447736,4.419174500454542,0.008113251866503794,-6.109527954394645
2010,130121,0,0,4.603153831054112,7.827181685954407,0.4874162702650228,8.053645254469249,51.02041982497293,3.492256112609122,7.848313681120829,东部,-15.380719600313444,-0.08748861483949118,0.0021880061581039095,-0.004056007393679757,-0.08850818922230894,-0.8312397620715082,-2.3069576115525687,-0.0030427415231021673,-6.937468005671914
2021,130121,0,0,10.37979818467623,8.908555252377122,0.4324173898703387,11.21912745214927,34.8219411759311,3.490428515390098,22.24520117024496,东部,-0.9847141297234884,-0.1468122866761935,-0.08324901596541086,-0.0737047397826496,-0.0832711330369611,6.578235778330755,-10.445492777939627,-0.026372182093750248,8.316355067355595
2022,130121,0,0,9.43127526644616,9.095109757936712,0.3926510542941958,10.69551420064708,36.36667509998509,3.49650756146648,24.63671107283539,东部,4.6407747803213555,-0.1543261872648653,-0.08129530121055921,-0.1048253020645012,0.034461082945423,5.961820985110849,-9.218554065762318,-0.01898490977723067,10.566107460362236
2006,130123,0,0,16.08731241473397,6.911452140863463,0.466429664296643,18.49456032895019,47.48779286417955,3.790533107840436,4.759069687754315,东部,3.507573761867492,0.21598437535719162,0.07918854739568931,-0.09348391116887278,-0.0391362022227197,-0.6857876058052625,7.5636612945373,-0.0329435598136486,-0.18203223667827564
2007,130123,0,0,14.42673811874207,7.054580012546722,0.4860977208746288,18.18685870646215,46.87677015928897,3.801761611170609,4.784573344330232,东部,-2.575205624328229,0.09428835781100667,0.05752621834941635,-0.06612974389588953,-0.16827417592780117,-0.10565485509050478,5.451726811974512,-0.03014865296724796,-1.7542498806869038
2008,130123,0,0,15.94363651302276,7.31864691089562,0.4717382377097266,17.24196033690092,46.77574924392562,3.811318301306514,5.368620216417188,东部,-1.5095004446153073,0.09262180697077543,0.022925093658253178,-0.06775682998146179,-0.1886357548010366,-0.08859804622882274,3.998388762148363,-0.029093964129854055,-4.434989101889868
2009,130123,0,0,9.86075186904298,7.378371866177718,0.5184988493538679,15.82894474650574,43.5161832104529,3.82581130860908,5.226237581485382,东部,0.5940973165159634,-0.01426745126841721,0.002716451644393927,-0.010669513258763962,-0.3586256611884298,-0.08477240553052641,1.0965933248492414,-0.02341503047008064,-7.274513729207188
2010,130123,0,0,18.04166935431852,7.62841456909216,0.5193658313593483,13.86263657541298,47.6645906555325,3.846310462062765,5.675098656223523,东部,-0.6088373793199089,-0.08748861483949118,0.0021880061581039095,-0.015873188931278773,-0.3207883302666226,-1.1488529209158704,3.482727364041412,-0.015594636042113546,-8.087006123179226
2021,130123,0,0,2.722001603370807,9.5194280643196,0.6820821642375982,12.12560628525882,25.10952196669477,3.945457781514384,23.21463536519519,东部,-7.3091440132997825,-0.1468122866761935,-0.08324901596541086,0.13219329195268534,0.4940886547234506,1.3581101316522115,-11.012397842141546,0.06205084005788165,10.309466169695813
2022,130123,0,0,11.35815017151569,9.675533168856514,0.662962994274203,11.6158533972431,25.85901530530371,3.951243718581428,24.47025160702881,东部,7.901016383120016,-0.1543261872648653,-0.08129530121055921,0.1217198952835815,0.5813714696831593,0.7555557019187754,-10.580699715409283,0.06914500336506316,11.423324901945648
2006,130125,0,0,14.33276774129155,6.620803098824315,0.2818894140786093,21.56558376760173,54.24355710272025,3.737669618283368,6.594673299763393,东部,0.596225180913269,-0.35544419607138,0.07918854739568931,0.03885619063983615,-0.055004133497973895,-6.445616198099268,8.07342596969805,-0.012671303432105574,-0.7321626463314994
