year,county_code,D1,D2,gdp_growth_pc,ln_fiscal_exp_pc,fiscal_autonomy,primary_ratio,secondary_ratio,ln_pop,gov_scale,region
2006,130121,0,0,18.60033294916122,6.986265052223752,.5710628505681001,9.792591445869498,55.36980511067063,3.470101360309366,5.849876995251445,东部
2007,130121,0,0,21.01171516493009,7.1832869098033,.5649614576033637,8.740898204832664,56.41201195397856,3.481240089335692,5.909351296509742,东部
2008,130121,0,0,21.67744813740799,7.526398238538902,.5772342955281062,8.216865963546086,57.33309072398797,3.484925597192868,6.759870330514302,东部
2009,130121,0,0,12.07010339517489,7.725038666643137,.4750649455534169,7.751546496703401,55.98427853109261,3.49073334697301,7.414900263687918,东部
2010,130121,0,0,4.603153831054112,7.827181685954407,.4874162702650228,8.053645254469249,51.02041982497293,3.492256112609122,7.848313681120829,东部
2021,130121,0,0,10.37979818467623,8.908555252377122,.4324173898703387,11.21912745214927,34.8219411759311,3.490428515390098,22.24520117024496,东部
2022,130121,0,0,9.431275266446161,9.095109757936713,.3926510542941958,10.69551420064708,36.36667509998509,3.49650756146648,24.63671107283539,东部
2006,130123,0,0,16.08731241473397,6.911452140863463,.466429664296643,18.49456032895019,47.48779286417955,3.790533107840436,4.759069687754315,东部
2007,130123,0,0,14.42673811874207,7.054580012546722,.4860977208746288,18.18685870646215,46.87677015928897,3.801761611170609,4.784573344330232,东部
2008,130123,0,0,15.94363651302276,7.31864691089562,.4717382377097266,17.24196033690092,46.77574924392562,3.811318301306514,5.368620216417188,东部
2009,130123,0,0,9.860751869042979,7.378371866177718,.5184988493538679,15.82894474650574,43.5161832104529,3.82581130860908,5.226237581485382,东部
2010,130123,0,0,18.04166935431852,7.62841456909216,.5193658313593483,13.86263657541298,47.6645906555325,3.846310462062765,5.675098656223523,东部
2021,130123,0,0,2.722001603370807,9.5194280643196,.6820821642375982,12.12560628525882,25.10952196669477,3.945457781514384,23.21463536519519,东部
2022,130123,0,0,11.35815017151569,9.675533168856514,.662962994274203,11.6158533972431,25.85901530530371,3.951243718581428,24.47025160702881,东部
2006,130125,0,0,14.33276774129155,6.620803098824315,.2818894140786093,21.56558376760173,54.24355710272025,3.737669618283368,6.594673299763393,东部
2007,130125,0,0,21.03884766477521,6.891481661759347,.2397487641200774,21.75156953732769,55.99307356353214,3.750914845033389,7.143612665483827,东部
2008,130125,0,0,23.77930039668229,7.230357437345236,.2069415405201974,20.85415812635231,61.31217235734394,3.768152635008444,8.115221622854287,东部
2009,130125,0,1,12.51019694674281,7.394572907689903,.223446402822304,17.70501944669536,62.63611804679203,3.781914320081126,8.400948871715318,东部
2010,130125,0,1,3.081464601999068,7.483772447301888,.1702950281129572,20.79434923312483,57.1261476415164,3.79526444481795,8.99641825586907,东部
2021,130125,0,1,8.876013190741826,8.960354008794717,.2236032190303488,33.60407824956233,17.13377090748911,3.819907716520341,26.83306271434497,东部
2022,130125,0,1,12.91929685509667,8.981617395689138,.2430886292343232,32.89762623268847,18.5667807296438,3.80666248977032,24.11468718003988,东部
2006,130126,0,0,14.90799459403264,6.820801804195702,.2484280006948063,15.06621562435168,58.29827574283672,3.446807892914208,8.294241718724788,东部
2007,130126,0,0,25.35963086944721,7.134403220646439,.2290292649898438,18.10963366356989,58.07929789134403,3.459151774922711,9.109183652490938,东部
2008,130126,0,0,23.12355658198614,7.308749440745535,.217596050120322,17.30696395343093,60.85852348305622,3.474447843401748,8.819800088922555,东部
2009,130126,0,0,7.116060961313013,7.496324110525618,.1908930210422545,15.65098096716402,58.63404472623761,3.486151087542319,9.915681149014988,东部
2010,130126,0,1,10.38634124986319,7.787689063245404,.1501628542548014,16.80590974400638,56.43971022996547,3.503753969987248,12.05614858612985,东部
2021,130126,0,1,11.51886120996441,9.045909107337721,.2597387332930352,27.53621277244574,20.58739898542423,3.55820113047182,24.54267852948328,东部
