idx,colname,coef,se,ci_lower,ci_upper
1,Pre_avg,.7467798000981186,.6025378685034112,-.4341727214900982,1.927732321686336
2,Post_avg,2.479236048377175,.3728001946967373,1.74856109334205,3.2099110034123
3,Tm18,-.9229502398995281,1.72394997179572,-4.30183009576798,2.455929615968924
4,Tm17,3.136629686769842,4.898989379345426,-6.465213057391423,12.73847243093111
5,Tm16,3.586101717641127,1.755811936207526,.1447735590488382,7.027429876233415
6,Tm15,.5279618851468597,1.825011159252647,-3.048994258372022,4.104918028665741
7,Tm14,3.635977125728131,2.661960931156496,-1.581370427591307,8.853324679047569
8,Tm13,2.560366288546192,2.096889303938721,-1.549461226740965,6.670193803833348
9,Tm12,-1.359233278103624,1.023923204168875,-3.366085881209471,.647619325002222
10,Tm11,-.4827208010974414,1.157564008153673,-2.75150456687847,1.786062964683587
11,Tm10,-.5202610707318437,1.077338794401821,-2.631806306907215,1.591284165443528
12,Tm9,-4.107397077985488,.8679322695962796,-5.808513067414305,-2.406281088556672
13,Tm8,.0645383897255008,.7182150436316453,-1.343137228947388,1.472214008398389
14,Tm7,1.588270974723363,.6943204250447425,.227427947905126,2.9491140015416
15,Tm6,.5736935929789008,.6899974378932489,-.7786765347167796,1.926063720674581
16,Tm5,.8505283394546539,.7116390884319304,-.5442586438628441,2.245315322772152
17,Tm4,2.20467462429329,.6769049686181008,.8779652648455969,3.531383983740983
18,Tm3,1.177752078924651,.5686545268259502,.0632096867001226,2.292294471149179
19,Tm2,.1813243655534325,.7334114996014091,-1.256135759512841,1.618784490619706
20,Tp0,.9587611756213807,.5462462376631514,-.1118617768889028,2.029384128131664
21,Tp1,1.544056453261306,.4192709918894931,.7223004093955144,2.365812497127097
22,Tp2,1.605531946460357,.4727183980506146,.6790209114516832,2.532042981469031
23,Tp3,1.175032672631633,.5529425054487974,.0912852764306475,2.258780068832619
24,Tp4,2.419325572314512,.4621338451426328,1.513559879797941,3.325091264831082
25,Tp5,2.932731900025357,.4583326057769966,2.034416499762049,3.831047300288665
26,Tp6,2.394541260560112,.4797004888898993,1.454345578969654,3.334736942150571
27,Tp7,2.999519088689907,.5299425901336082,1.960850698154163,4.03818747922565
28,Tp8,1.311474704211967,.5195326363465974,.2932094481794909,2.329739960244443
29,Tp9,1.431101129212937,.5113207138996797,.4289309454202554,2.433271313005617
30,Tp10,1.387717387779061,.5798845890555632,.2511644780403477,2.524270297517774
31,Tp11,2.662381157846867,.4792743130896481,1.723020765475983,3.601741550217751
32,Tp12,.6881081622416422,.644000736250214,-.5741100868260557,1.95032641130934
33,Tp13,2.335034415094986,.4837615182464508,1.386879262225526,3.283189567964445
34,Tp14,1.318322060671277,.6762197610853221,-.0070443166902345,2.643688438032788
35,Tp15,7.576644443589029,.9445488782524725,5.725362660576474,9.427926226601583
36,Tp16,1.205315947420787,.5302930354120801,.1659606967606868,2.244671198080887
37,Tp17,8.430829192688915,1.055225022989939,6.362626152043183,10.49903223333465
38,Tp18,.5771124939951078,.6799810859413777,-.7556259446184277,1.909850932608643
39,Tp19,3.350236313679083,.7692678588140632,1.842499015939276,4.85797361141889
40,Tp20,4.377529887850212,1.139194537501804,2.144749622961912,6.610310152738512
41,Tp21,1.861885698451414,1.06648974628216,-.2283957941428785,3.952167191045707
