period,coef,ci_lower,ci_upper,se
0,0,0,0,0
-6,.0359854624147565,-1.24932759314009,1.321298517969603,.6557719671198197
-5,.4372573832606151,-.9276356788851348,1.802150445406365,.6963740112988519
-4,-.2490731113123137,-1.61946115917465,1.121314936550022,.6991775754399673
-3,-.409293206048169,-1.634133964125595,.8155475520292571,.6249187541211357
-2,.3066367078321584,-.9032377869724908,1.516511202636807,.6172829055125761
-1,-1.041661050912857,-2.111264776308662,.0279426744829485,.5457161864264314
1,-.0951757407502615,-1.259512605170276,1.069161123669752,.5940494206224561
2,.5299905901162126,-.7717411181900341,1.831722298422459,.6641488307684933
3,-.8247019489040809,-2.107620191353685,.4582162935455228,.6545501236987774
4,.6929999884837467,-.4932247582724995,1.879224735239993,.6052167075286971
5,1.059686378610754,-.126568665019636,2.245941422241144,.605232165117546
6,1.138697515640822,-.0900148686000664,2.36740989988171,.6268940735922899
7,1.104637165512644,-.1485131900694268,2.357787521094715,.639362426317383
8,-.1395212658718541,-1.492315604822611,1.213273073078903,.6902011933422229
9,.1714609353532311,-1.130115475194526,1.473037345900988,.6640695972182433
10,1.070945098090411,-.140027747480306,2.281917943661128,.6178432885564883
