period,coef,ci_lower,ci_upper,se
0,0,0,0,0
-6,-.7314226979154994,-2.068813914131814,.6059685183008152,.6823424572532217
-5,1.574172511111597,-.2326270007945344,3.380972023017728,.9218364856663935
-4,-.1479070336839298,-1.603569188001509,1.307755120633649,.7426847726110096
-3,-.1369116976468619,-1.41469034395554,1.140866948661816,.6519278807697336
-2,.4133232067370817,-.8237033844663857,1.650349797940549,.6311360159201365
-1,-2.118151512927584,-3.213867286581328,-1.02243573927384,.5590386600274205
1,.2824401004230085,-.9571386283397093,1.522018829185726,.632438126919754
2,.0900345456370807,-1.206427340179761,1.386496431453923,.6614601458249193
3,-.4070681029850973,-1.658517417317213,.8443812113470182,.6384945481286304
4,-.2858011395100444,-1.413844666881718,.8422423878616296,.5755324119243235
5,-1.094757293198656,-2.263625435760063,.0741108493627514,.5963612972252078
6,-.66284588544603,-1.921685807033497,.5959940361414373,.6422652661160547
7,-1.208640306943962,-2.443096335358311,.0258157214703871,.6298245042930353
8,-.7904356285508939,-2.24914167576758,.6682704186657921,.7442377791921867
9,-2.772450936946429,-4.017082209537627,-1.527819664355232,.6350159554036721
10,-1.246755013444278,-2.418797570116499,-.0747124567720563,.5979808962613375
