period,coef,ci_lower,ci_upper,se
0,0,0,0,0
-5,.6837427152035418,-.2283800519008531,1.595865482307937,.4653687587267321
-4,.0099763988344596,-.9426494695477861,.9626022672167052,.4860336063174723
-3,-.1164089034067909,-.9029898760314365,.6701720692178548,.4013168227676764
-2,.5715250779788748,-.3483551313531944,1.491405287310944,.469326637414321
1,.238111595957766,-.5186238089765172,.9948470008920491,.3860894923134098
2,.8453697592013657,-.0489743771896224,1.739713895592354,.4562980287709123
3,-.5032286445317633,-1.486844206672768,.4803869176092411,.501844674561737
4,1.030144215481849,.2186581564919711,1.841630274471727,.4140234994846316
5,1.379954692138516,.5486483894395083,2.211260994837524,.4241358687239835
6,1.479227334761846,.6474033741643982,2.311051295359294,.4243999798966571
7,1.431863718959269,.5499292090720177,2.31379822884652,.449966586677169
8,.2026186383759654,-.8051573071744638,1.210394583926395,.5141714007910353
9,.509319969780152,-.4233381532607774,1.441978092821081,.4758459811433314
10,1.432971639448772,.5818701114498881,2.284073167447656,.4342354734688183
