period,coef,ci_lower,ci_upper,se
0,0,0,0,0
-5,.6692367512431927,-.0313003824917499,1.369773884978135,.3574169049668075
-4,-.3469048188410118,-1.091675330966122,.3978656932840984,.3799849551658726
-3,-.1446241842282881,-.7485576853499969,.4593093168934207,.3081293373069943
-2,.358384735680334,-.3773867754031743,1.094156246763842,.3753936281038308
-1,-.4224857827355722,-.8625336025535983,.0175620370824539,.2245141937847072
1,.7321435019415479,.10381321192282,1.360473791960276,.3205766785809836
2,1.478780486846314,.7113885416767836,2.246172432015844,.3915265026375155
3,.1753204113324572,-.6764317233997845,1.027072546064699,.4345674156797152
4,1.797209399178803,1.12920692402948,2.465211874328126,.3408175893618997
5,2.189003955473599,1.464819024631612,2.913188886315586,.3694821075724422
6,2.310305432240496,1.566785415304487,3.053825449176505,.3793469474163313
7,2.157451987838743,1.386167863230286,2.928736112447199,.3935123084737024
8,.7520956069819804,-.0754906124389022,1.579681826402863,.4222378670514707
9,1.03881026113883,.2812824474417346,1.796338074835925,.386493782498518
10,1.750015815214266,1.078086990873584,2.421944639554948,.3428208287452461
