county_code,lon,lat,name,level
130927,116.709171,38.042439,南皮县,district
130928,116.391512,37.628182,吴桥县,district
130929,116.123844,38.189661,献县,district
130930,117.105104,38.057953,孟村回族自治县,district
130981,116.570163,38.073479,泊头市,district
130982,116.106764,38.706513,任丘市,district
130983,117.343803,38.369238,黄骅市,district
130984,116.089452,38.44149,河间市,district
131002,116.694544,39.502569,安次区,district
131003,116.713708,39.521931,广阳区,district
131022,116.299894,39.436468,固安县,district
131023,116.498089,39.319717,永清县,district
131024,117.007161,39.757212,香河县,district
131025,116.640735,38.699215,大城县,district
131026,116.460107,38.866801,文安县,district
131028,116.986501,39.889266,大厂回族自治县,district
131081,116.392021,39.117331,霸州市,district
131082,117.077018,39.982778,三河市,district
131102,115.694945,37.732237,桃城区,district
131103,115.579173,37.542788,冀州区,district
131121,115.726499,37.511512,枣强县,district
131122,115.892415,37.803774,武邑县,district
131123,115.970236,38.03698,武强县,district
131124,115.726577,38.232671,饶阳县,district
131125,115.519627,38.233511,安平县,district
131126,115.966747,37.350981,故城县,district
131127,116.258446,37.686622,景县,district
131128,116.164727,37.869945,阜城县,district
131182,115.554596,38.00347,深州市,district
140105,112.564273,37.817974,小店区,district
140106,112.558851,37.855804,迎泽区,district
140107,112.560743,37.879291,杏花岭区,district
140108,112.487122,37.939893,尖草坪区,district
140109,112.522258,37.862653,万柏林区,district
140110,112.477849,37.715619,晋源区,district
140121,112.357961,37.60729,清徐县,district
140122,112.673818,38.058797,阳曲县,district
140123,111.793798,38.066035,娄烦县,district
140181,112.174353,37.908534,古交市,district
140212,113.141044,40.258269,新荣区,district
140213,113.298027,40.075667,平城区,district
140214,113.149693,40.005405,云冈区,district
140215,113.61244,40.040295,云州区,district
140221,113.749871,40.364927,阳高县,district
140222,114.09112,40.421336,天镇县,district
140223,114.279252,39.763051,广灵县,district
140224,114.23576,39.438867,灵丘县,district
140225,113.698091,39.699099,浑源县,district
140226,112.70641,40.012873,左云县,district
140302,113.586513,37.860938,城区,district
140303,113.559066,37.870085,矿区,district
140311,113.58664,37.94096,郊区,district
140321,113.631049,37.800289,平定县,district
140322,113.41223,38.086131,盂县,district
140403,113.114107,36.187895,潞州区,district
140404,113.056679,36.052438,上党区,district
140405,112.892741,36.314072,屯留区,district
140406,113.223245,36.332232,潞城区,district
140423,113.050094,36.532854,襄垣县,district
140425,113.438791,36.200202,平顺县,district
140426,113.387366,36.502971,黎城县,district
140427,113.206138,36.110938,壶关县,district
140428,112.884656,36.119484,长子县,district
140429,112.8653,36.834315,武乡县,district
140430,112.70138,36.757123,沁县,district
140431,112.340878,36.500777,沁源县,district
140502,112.853106,35.496641,城区,district
140521,112.187213,35.689472,沁水县,district
140522,112.422014,35.482177,阳城县,district
140524,113.278877,35.775614,陵川县,district
140525,112.899137,35.617221,泽州县,district
140581,112.930691,35.791355,高平市,district
140602,112.428676,39.324525,朔城区,district
140603,112.295227,39.515603,平鲁区,district
140621,112.816396,39.52677,山阴县,district
140622,113.187505,39.559187,应县,district
140623,112.465588,39.988812,右玉县,district
140681,113.100511,39.820789,怀仁市,district
140702,112.740056,37.6976,榆次区,district
140703,112.554103,37.424595,太谷区,district
140721,112.973521,37.069019,榆社县,district
140722,113.377834,37.079672,左权县,district
140723,113.572919,37.327027,和顺县,district
140724,113.706166,37.60437,昔阳县,district
140725,113.177708,37.891136,寿阳县,district
140727,112.330532,37.358739,祁县,district
140728,112.174059,37.195474,平遥县,district
140729,111.772759,36.847469,灵石县,district
140781,111.913857,37.027616,介休市,district
140802,111.000627,35.025643,盐湖区,district
140821,110.77493,35.141883,临猗县,district
140822,110.843561,35.417042,万荣县,district
140823,111.220306,35.353839,闻喜县,district
140824,110.978996,35.600412,稷山县,district
140825,111.225205,35.613697,新绛县,district
140826,111.576182,35.49045,绛县,district
140827,111.67099,35.298293,垣曲县,district
140828,111.223174,35.140441,夏县,district
140829,111.212377,34.837256,平陆县,district
140830,110.69114,34.694769,芮城县,district
140881,110.447984,34.865125,永济市,district
140882,110.710268,35.59715,河津市,district
140902,112.734112,38.417743,忻府区,district
140921,112.963231,38.484948,定襄县,district
140922,113.259012,38.725711,五台县,district
140923,112.962519,39.065138,代县,district
140924,113.267707,39.188104,繁峙县,district
140925,112.307936,39.001718,宁武县,district
140926,111.940231,38.355947,静乐县,district
140927,112.200438,39.088467,神池县,district
140928,111.841015,38.912761,五寨县,district
140929,111.56981,38.705625,岢岚县,district
140930,111.146609,39.381895,河曲县,district
140931,111.085688,39.022576,保德县,district
140932,111.500477,39.442153,偏关县,district
140981,112.713132,38.729186,原平市,district
141002,111.522945,36.080366,尧都区,district
141021,111.475529,35.641387,曲沃县,district
141022,111.713508,35.738621,翼城县,district
141023,111.442932,35.876139,襄汾县,district
141024,111.673692,36.255742,洪洞县,district
141025,111.920207,36.26855,古县,district
141026,112.251372,36.146032,安泽县,district
141027,111.850039,35.971359,浮山县,district
141028,110.682853,36.099355,吉县,district
141029,110.857365,35.975402,乡宁县,district
141030,110.751283,36.46383,大宁县,district
141031,110.935809,36.692675,隰县,district
