combo,controls,pre_p,coef_m1,ci_lo,ci_hi
1,full,.5065200432269933,-1.062557495891606,-1.062557495891606-1.96*.3734478957095,-1.062557495891606+1.96*.3734478957095
2,no_govs,.4992978652909198,-1.045181008124233,-1.045181008124233-1.96*.3728047778922759,-1.045181008124233+1.96*.3728047778922759
3,no_lnpop,.5105501880639385,-1.050004199643967,-1.050004199643967-1.96*.3728826881785917,-1.050004199643967+1.96*.3728826881785917
4,rr_only,.5012472998742036,-1.034513800905802,-1.034513800905802-1.96*.3721769586459882,-1.034513800905802+1.96*.3721769586459882
5,no_ctrl,.3215082426939946,-1.171180085833014,-1.171180085833014-1.96*.3784548022590395,-1.171180085833014+1.96*.3784548022590395
